#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
0Y2W3  44.794  -87.313 2014 06 17 00 15 180   3.6    MM  0.3  MM   MM  MM 1014.8    MM  11.1  11.0    MM  3.2     MM
13010   0.00     0.00  2014 06 17 01 00 170   7.2    MM   MM  MM   MM  MM     MM    MM  24.7    MM    MM   MM     MM
15006  -6.03   -10.00  2014 06 17 01 00 130   7.2    MM   MM  MM   MM  MM     MM    MM  25.9  27.1    MM   MM     MM
15007  -6.00     8.00  2014 06 17 01 00  MM    MM    MM   MM  MM   MM  MM 1014.2    MM  24.5  25.6    MM   MM     MM
21600  36.33   142.71  2014 06 17 00 00  MM    MM    MM   MM  MM   MM  MM 1008.4    MM    MM  22.6    MM   MM     MM
21636  34.55   162.25  2014 06 17 00 00  MM    MM    MM   MM  MM   MM  MM 1003.8    MM    MM  19.7    MM   MM     MM
21637  34.20   153.88  2014 06 17 00 00  MM    MM    MM   MM  MM   MM  MM 1009.9    MM    MM  22.3    MM   MM     MM
22101  37.24   126.02  2014 06 17 01 00  10   3.0    MM   MM  MM   MM  MM 1008.1    MM  17.9  16.3    MM   MM     MM
22102  34.79   125.78  2014 06 17 01 00  40   3.0    MM   MM  MM   MM  MM 1006.2    MM  17.5  17.1    MM   MM     MM
22103  34.00   127.50  2014 06 17 01 00 190   5.0    MM   MM  MM   MM  MM 1006.4    MM  18.4  18.5    MM   MM     MM
22104  34.77   128.90  2014 06 17 01 00 220   3.0    MM   MM  MM   MM  MM 1007.2    MM  19.7  18.6    MM   MM     MM
22105  37.54   130.00  2014 06 17 01 00  90   3.0    MM   MM  MM   MM  MM 1007.7    MM  22.5  22.1    MM   MM     MM
22106  36.35   129.78  2014 06 17 01 00  60   3.0    MM   MM  MM   MM  MM 1006.7    MM  21.1  21.0    MM   MM     MM
22107  33.08   126.03  2014 06 17 01 00 120  12.0    MM   MM  MM   MM  MM 1004.4    MM  19.2  21.5    MM   MM     MM
22108  36.25   125.75  2014 06 17 01 00 300   2.0    MM   MM  MM   MM  MM 1006.0    MM  20.8  20.3    MM   MM     MM
31052  -5.79   -35.22  2014 06 17 00 00 210   1.0    MM   MM  MM   MM  MM 1014.9    MM -10.0    MM    MM   MM     MM
31053 -31.58   -49.87  2014 06 17 00 00  MM   0.0    MM   MM  MM   MM  MM 1019.0    MM -10.0  19.3    MM   MM     MM
32012 -19.376  -84.370 2014 06 17 01 50  MM    MM    MM  2.0   8  6.0 104     MM    MM    MM    MM    MM   MM     MM
41002  31.862  -74.835 2014 06 17 01 50 150   2.0   3.0  0.7  10  5.1  79 1022.1  +0.7  24.0  25.7  17.0   MM     MM
41004  32.501  -79.099 2014 06 17 01 50 140   4.0   5.0  0.5   9  4.6 109 1020.7  +0.8  27.1  27.0  22.9   MM     MM
41008  31.400  -80.868 2014 06 17 01 50 130   3.0   4.0  0.4   9  3.8 100 1021.2  +1.5  26.6  27.1  25.5   MM     MM
41009  28.522  -80.188 2014 06 17 01 50 160   3.0   3.0  0.4   9  5.3  73 1020.7  +1.3  26.6  27.1  20.7   MM     MM
41010  28.903  -78.464 2014 06 17 01 50 150   2.0   3.0  0.6   9  5.7  88 1020.5  +0.7  27.2  28.0  21.8   MM     MM
41024  33.848  -78.482 2014 06 17 01 00 200   5.0   6.0   MM  MM   MM  MM 1020.6  +0.3  26.5    MM    MM   MM     MM
41025  35.006  -75.402 2014 06 17 01 50 220   6.0   7.0  0.7  10  4.2  94 1020.5  +0.4  24.7  26.1  20.6   MM     MM
41029  32.800  -79.620 2014 06 17 01 00 150   4.0   5.0   MM  MM   MM  MM     MM    MM  26.4    MM    MM   MM     MM
41033  32.270  -80.400 2014 06 17 01 00 150   4.0   5.0   MM  MM   MM  MM     MM    MM  26.6    MM    MM   MM     MM
41036  34.207  -76.949 2014 06 17 01 50 210   7.0   8.0  0.6   9  3.6 131 1021.2  +0.4  26.3  26.5  20.7   MM     MM
41037  33.988  -77.363 2014 06 17 01 00 200   6.0   8.0   MM  MM   MM  MM 1020.9  +0.5  24.4  26.1    MM   MM     MM
41038  34.142  -77.721 2014 06 17 01 00 200   6.0   7.0   MM  MM   MM  MM 1020.5  +0.0  24.3  25.7    MM   MM     MM
41040  14.516  -53.024 2014 06 17 01 50  70   6.0   8.0  1.6  10  5.8  36 1016.9  +0.8  26.2  26.9  21.1   MM     MM
41041  14.329  -46.082 2014 06 17 01 50  80   8.0  10.0  1.6  10  5.4  43 1017.8  +1.0  25.6  26.0    MM   MM     MM
41043  21.061  -64.966 2014 06 17 01 50  70   4.0   5.0  1.2  11  6.1  58 1019.8  +0.9  27.4  28.1  23.1   MM     MM
41044  21.575  -58.625 2014 06 17 01 50 330   1.0   1.0  1.2   8  7.2  44 1019.2  +0.6  26.4  28.1  22.0   MM     MM
41046  23.888  -68.365 2014 06 17 01 50 110   3.0   4.0  1.0  11  6.0  49 1019.8  +1.1  27.4  28.3  22.7   MM     MM
41047  27.517  -71.483 2014 06 17 01 50  40   2.0   3.0  0.7  11  5.9  57 1020.7  +0.6  26.6  28.0  22.3   MM     MM
41048  31.950  -69.497 2014 06 17 01 50 350   3.0   4.0  1.0   7  5.6 351 1020.7  +0.6  23.6  25.5  16.6   MM     MM
41049  27.537  -62.945 2014 06 17 01 50 260   1.0   3.0  0.9   7  7.0 110 1019.4  +0.4  26.5  28.2  21.4   MM     MM
41051  18.257  -65.004 2014 06 17 01 30  90   5.0   6.0   MM  MM   MM  MM 1017.5    MM  27.6    MM    MM   MM     MM
41052  18.249  -64.763 2014 06 17 01 30  80   6.0   7.0   MM  MM   MM  MM 1017.0    MM  27.7    MM    MM   MM     MM
